15_min_interval,tag_bird,tag_insect,traffic,biophony,anthropophony,biophony.1,site
14:45:00,0.06085402,0.067987464,0.06288671,0.108844,0.20612404,0.108844,AM26
15:00:00,0.0315619,0.04153906,0.12758428,0.0617866,0.37118435,0.0617866,AM26
15:15:00,0.039054837,0.0388754,0.10056933,0.060934894,0.2497239,0.060934894,AM26
15:30:00,0.01883273,0.04312996,0.11329291,0.051761545,0.30556378,0.051761545,AM26
15:45:00,0.024016624,0.04149626,0.084093325,0.0577056,0.30975297,0.0577056,AM26
16:00:00,0.012504927,0.010936186,0.053194,0.019641167,0.42153648,0.019641167,AM26
16:15:00,0.030674566,0.0071904976,0.09389666,0.03253722,0.33590448,0.03253722,AM26
16:30:00,0.020611385,0.04302616,0.08463708,0.05421877,0.25085303,0.05421877,AM26
16:45:00,0.020907512,0.037188765,0.09011523,0.052917633,0.25534603,0.052917633,AM26
17:00:00,0.02718504,0.056952298,0.07976386,0.08146722,0.24681228,0.08146722,AM26
17:15:00,0.030272434,0.11887476,0.07501541,0.13604783,0.18766354,0.13604783,AM26
17:30:00,0.016490111,0.042638443,0.08047367,0.0654402,0.31251407,0.0654402,AM26
17:45:00,0.032099873,0.13888219,0.0651361,0.16403069,0.18835144,0.16403069,AM26
18:00:00,0.037513603,0.1673044,0.034073114,0.19207974,0.19492,0.19207974,AM26
18:15:00,0.04016597,0.072059266,0.057682365,0.10121622,0.28947625,0.10121622,AM26
18:30:00,0.04097167,0.051453486,0.0681881,0.088792235,0.35123417,0.088792235,AM26
18:45:00,0.042034376,0.028403953,0.102242194,0.06492929,0.38599065,0.06492929,AM26
19:00:00,0.043549847,0.04762279,0.06617734,0.083399825,0.3565631,0.083399825,AM26
19:15:00,0.016086798,0.21559486,0.057622716,0.22691676,0.29709005,0.22691676,AM26
19:30:00,0.006118106,0.314864,0.05849288,0.31843042,0.19089669,0.31843042,AM26
19:45:00,0.004224816,0.34818363,0.0525817,0.35352436,0.17092273,0.35352436,AM26
20:00:00,0.017407225,0.4514735,0.0401733,0.46032766,0.08918556,0.46032766,AM26
20:15:00,0.008017144,0.39892924,0.030360177,0.40201074,0.08047822,0.40201074,AM26
20:30:00,0.0094790235,0.42935812,0.01775288,0.43107226,0.036111526,0.43107226,AM26
20:45:00,0.015198522,0.3927025,0.019909192,0.39287063,0.055544563,0.39287063,AM26
21:00:00,0.0041159787,0.39307863,0.018105386,0.39336845,0.06977422,0.39336845,AM26
21:15:00,0.02703475,0.2578335,0.02320131,0.27984917,0.09957613,0.27984917,AM26
21:30:00,0.004195874,0.2836115,0.027835453,0.2936098,0.04880781,0.2936098,AM26
21:45:00,0.0058023,0.18907537,0.029247971,0.19929731,0.07313772,0.19929731,AM26
22:00:00,0.016972354,0.12957256,0.027784444,0.14635274,0.082010224,0.14635274,AM26
22:15:00,0.010022695,0.048700526,0.029466508,0.05482417,0.15094577,0.05482417,AM26
22:30:00,0.012123684,0.076705754,0.027416797,0.08416998,0.13215056,0.08416998,AM26
22:45:00,0.057329565,0.041280314,0.028877828,0.09133354,0.20365451,0.09133354,AM26
23:00:00,0.043664683,0.039234307,0.034831196,0.07785719,0.16070302,0.07785719,AM26
23:15:00,0.009523763,0.02878489,0.032202035,0.033953413,0.18459041,0.033953413,AM26
23:30:00,0.02681981,0.04765873,0.043194197,0.069926225,0.15938345,0.069926225,AM26
23:45:00,0.028444646,0.027400484,0.037379768,0.04994027,0.24991326,0.04994027,AM26
00:00:00,0.003715064,0.015657626,0.024219744,0.016912498,0.15851726,0.016912498,AM31
00:15:00,0.0031235123,0.005168122,0.024367843,0.006249668,0.17926788,0.006249668,AM31
00:30:00,0.00290647,0.0029425488,0.023551777,0.003949543,0.18558894,0.003949543,AM31
00:45:00,0.0028308933,0.0034990825,0.023282783,0.004571345,0.18664257,0.004571345,AM31
01:00:00,0.0028695217,0.0033032466,0.022917476,0.0043036365,0.18352385,0.0043036365,AM31
01:15:00,0.0028278178,0.0032450336,0.023189936,0.004544409,0.18354927,0.004544409,AM31
01:30:00,0.0030524065,0.0033814714,0.02379716,0.004725694,0.18331347,0.004725694,AM31
01:45:00,0.00579805,0.005753453,0.024441063,0.0094626695,0.18124758,0.0094626695,AM31
02:00:00,0.0028219628,0.0046983287,0.022663368,0.0065478864,0.18206239,0.0065478864,AM31
02:15:00,0.0031030017,0.008897368,0.023408866,0.010321577,0.17943317,0.010321577,AM31
02:30:00,0.0027559153,0.0024980162,0.023311265,0.003375158,0.18745561,0.003375158,AM31
02:45:00,0.0036613867,0.010896653,0.023004562,0.012520272,0.17876732,0.012520272,AM31
03:00:00,0.002889108,0.0027448183,0.023457363,0.0036566192,0.1880422,0.0036566192,AM31
03:15:00,0.004579442,0.0045145564,0.024929078,0.0063997004,0.1890404,0.0063997004,AM31
03:30:00,0.013238155,0.0029340116,0.023606146,0.013787895,0.18531545,0.013787895,AM31
03:45:00,0.0104542095,0.007806511,0.022227695,0.016238956,0.16868667,0.016238956,AM31
04:00:00,0.020018373,0.05305531,0.020860974,0.05570937,0.1222011,0.05570937,AM31
04:15:00,0.034735538,0.11164367,0.016923763,0.12244577,0.096998796,0.12244577,AM31
04:30:00,0.03408306,0.09750665,0.020084782,0.10511129,0.113930024,0.10511129,AM31
04:45:00,0.048763916,0.05616369,0.021345885,0.07396163,0.12368285,0.07396163,AM31
05:00:00,0.05324497,0.05029289,0.021272844,0.0664438,0.115386546,0.0664438,AM31
05:15:00,0.03763711,0.084510334,0.022468628,0.09588303,0.12050984,0.09588303,AM31
05:30:00,0.08934496,0.053510338,0.017501019,0.09991832,0.104330696,0.09991832,AM31
05:45:00,0.07810336,0.06346215,0.016794275,0.09405435,0.08726482,0.09405435,AM31
06:00:00,0.06871453,0.06329143,0.018479982,0.0896468,0.09989621,0.0896468,AM31
06:15:00,0.0716118,0.06399722,0.018129047,0.08987562,0.086573176,0.08987562,AM31
06:30:00,0.09116201,0.06852486,0.022431156,0.114733726,0.09611127,0.114733726,AM31
06:45:00,0.09433163,0.09902285,0.01530274,0.13559587,0.07894213,0.13559587,AM31
07:00:00,0.09272307,0.0839939,0.017960904,0.12509625,0.09411206,0.12509625,AM31
07:15:00,0.059844293,0.12982774,0.016951412,0.1415822,0.08009211,0.1415822,AM31
07:30:00,0.0944228,0.1793121,0.016413333,0.21666247,0.062227983,0.21666247,AM31
07:45:00,0.05344406,0.17944579,0.017614916,0.19066854,0.07428275,0.19066854,AM31
08:00:00,0.051390234,0.21807165,0.03133812,0.23773775,0.115085684,0.23773775,AM31
08:15:00,0.025584428,0.0905451,0.0896439,0.09776936,0.13485412,0.09776936,AM31
08:30:00,0.031278547,0.14223798,0.08995699,0.14692692,0.119575284,0.14692692,AM31
08:45:00,0.036025275,0.103070624,0.09414966,0.114457086,0.12328339,0.114457086,AM31
09:00:00,0.029001608,0.19550398,0.07713899,0.20536819,0.09958661,0.20536819,AM31
09:15:00,0.03661673,0.26812774,0.035649132,0.2803984,0.059475157,0.2803984,AM31
09:30:00,0.0186414,0.22356968,0.032427084,0.2256452,0.06862571,0.2256452,AM31
09:45:00,0.019291123,0.29684788,0.017011028,0.29733312,0.064078175,0.29733312,AM31
10:00:00,0.028333506,0.25579306,0.01715931,0.26107538,0.038904626,0.26107538,AM31
10:15:00,0.03684551,0.21247378,0.024355698,0.23664583,0.046054825,0.23664583,AM31
10:30:00,0.015662353,0.17037772,0.02337432,0.17541721,0.04079531,0.17541721,AM31
10:45:00,0.018909615,0.21356985,0.020372279,0.21503855,0.039938647,0.21503855,AM31
11:00:00,0.025537075,0.19970256,0.02206966,0.20969294,0.03968731,0.20969294,AM31
11:15:00,0.03294895,0.18583302,0.02018821,0.20103991,0.040183,0.20103991,AM31
11:30:00,0.012573503,0.2219518,0.021328475,0.22415532,0.044529274,0.22415532,AM31
11:45:00,0.009288454,0.2114333,0.023352297,0.21159379,0.036481954,0.21159379,AM31
12:00:00,0.015603866,0.19852115,0.023554964,0.20254014,0.04845775,0.20254014,AM31
12:15:00,0.0118187945,0.1845265,0.025497278,0.19554871,0.046149004,0.19554871,AM31
12:30:00,0.013405147,0.20604606,0.025883926,0.21873061,0.04784209,0.21873061,AM31
12:45:00,0.010139248,0.20657113,0.024058165,0.21354304,0.055545058,0.21354304,AM31
13:00:00,0.016553584,0.26011902,0.026599707,0.2661013,0.118025675,0.2661013,AM31
